symbol,market,family,cost,full_best_sharpe,oos_sharpe,oos_cagr_pct,oos_maxdd_pct,dsr,pbo,deployed_frac,ens_oos_sharpe,ens_oos_maxdd_pct,bh_oos_sharpe,family_gate,dsr_meta32
BTCUSDT,spot,sma_cross,spot_taker10,0.95,0.55,16.1,-72.0,0.803,0.51,1.0,0.66,-55.9,0.52,False,0.299
BTCUSDT,spot,donchian,spot_taker10,1.22,0.85,26.8,-36.5,0.961,0.66,1.0,0.77,-37.2,0.52,True,0.569
BTCUSDT,spot,tsmom,spot_taker10,1.28,0.25,2.0,-20.3,0.29,0.16,1.0,0.59,-19.5,0.52,False,0.109
BTCUSDT,spot,rsi_meanrev,spot_taker10,0.41,0.06,-4.2,-50.9,0.349,0.69,1.0,0.13,-45.9,0.52,False,0.047
BTCUSDT,um,sma_cross,um_taker6,0.87,0.65,19.1,-43.3,0.841,0.35,1.0,0.58,-29.2,0.23,False,0.639
BTCUSDT,um,donchian,um_taker6,0.82,0.67,17.2,-30.8,0.915,0.96,1.0,0.51,-28.3,0.23,False,0.659
BTCUSDT,um,tsmom,um_taker6,0.85,0.37,4.3,-20.3,0.522,0.43,1.0,0.39,-17.0,0.23,False,0.41
BTCUSDT,um,rsi_meanrev,um_taker6,0.56,-0.1,-9.2,-55.2,0.208,0.72,1.0,0.08,-43.9,0.23,False,0.11
BTCUSDT,um,sma_cross,um_maker2,0.87,0.65,19.2,-43.3,0.842,0.36,1.0,0.59,-29.2,0.23,False,0.637
BTCUSDT,um,donchian,um_maker2,0.82,0.68,17.5,-30.4,0.92,0.97,1.0,0.52,-28.1,0.23,False,0.664
BTCUSDT,um,tsmom,um_maker2,0.91,0.52,6.6,-19.8,0.625,0.39,1.0,0.44,-16.1,0.23,False,0.529
BTCUSDT,um,rsi_meanrev,um_maker2,0.57,-0.09,-9.0,-54.9,0.213,0.73,1.0,0.09,-43.8,0.23,False,0.111
ETHUSDT,spot,sma_cross,spot_taker10,0.79,0.78,33.6,-57.2,0.949,0.83,1.0,0.6,-56.4,0.57,False,0.629
ETHUSDT,spot,donchian,spot_taker10,1.02,0.89,37.2,-41.6,0.96,0.71,1.0,0.88,-42.8,0.57,True,0.724
ETHUSDT,spot,tsmom,spot_taker10,1.23,0.29,2.7,-21.7,0.347,0.07,1.0,0.78,-14.0,0.57,False,0.209
ETHUSDT,spot,rsi_meanrev,spot_taker10,0.92,0.46,10.6,-35.1,0.558,0.2,1.0,0.24,-52.2,0.57,False,0.332
ETHUSDT,um,sma_cross,um_taker6,0.75,0.07,-5.4,-56.4,0.422,0.65,1.0,-0.19,-58.5,-0.02,False,0.155
ETHUSDT,um,donchian,um_taker6,0.92,0.34,5.8,-38.8,0.693,0.75,1.0,0.24,-38.8,-0.02,False,0.322
ETHUSDT,um,tsmom,um_taker6,1.06,0.08,0.0,-26.5,0.172,0.23,1.0,0.42,-19.9,-0.02,False,0.156
ETHUSDT,um,rsi_meanrev,um_taker6,1.09,0.53,14.3,-35.3,0.565,0.25,1.0,0.05,-50.8,-0.02,False,0.484
ETHUSDT,um,sma_cross,um_maker2,0.75,0.08,-5.3,-56.3,0.424,0.65,1.0,-0.19,-58.4,-0.02,False,0.153
ETHUSDT,um,donchian,um_maker2,0.94,0.35,6.2,-38.6,0.699,0.73,1.0,0.25,-38.6,-0.02,False,0.326
ETHUSDT,um,tsmom,um_maker2,1.1,0.2,1.8,-23.2,0.24,0.22,1.0,0.47,-18.9,-0.02,False,0.225
ETHUSDT,um,rsi_meanrev,um_maker2,1.09,0.54,14.5,-35.3,0.57,0.25,1.0,0.06,-50.7,-0.02,False,0.483
SOLUSDT,spot,sma_cross,spot_taker10,1.11,0.55,15.3,-68.7,0.769,0.83,1.0,0.66,-57.1,0.62,False,0.289
SOLUSDT,spot,donchian,spot_taker10,1.4,1.02,52.1,-54.3,0.976,0.92,1.0,0.74,-44.1,0.62,True,0.661
SOLUSDT,spot,tsmom,spot_taker10,1.25,0.75,7.7,-15.7,0.789,0.26,1.0,0.52,-16.7,0.62,False,0.435
SOLUSDT,spot,rsi_meanrev,spot_taker10,0.6,0.22,-5.5,-79.3,0.48,0.54,1.0,0.36,-48.7,0.62,False,0.117
SOLUSDT,um,sma_cross,um_taker6,1.02,-0.33,-30.8,-77.9,0.177,0.88,0.88,0.63,-59.3,0.76,False,0.013
SOLUSDT,um,donchian,um_taker6,1.49,0.25,1.3,-46.0,0.572,0.42,0.88,0.75,-46.3,0.76,False,0.128
SOLUSDT,um,tsmom,um_taker6,0.97,0.48,6.0,-21.7,0.451,0.19,0.88,0.11,-27.2,0.76,False,0.252
SOLUSDT,um,rsi_meanrev,um_taker6,0.67,0.48,10.6,-65.0,0.67,0.39,1.0,0.62,-40.9,0.76,False,0.242
SOLUSDT,um,sma_cross,um_maker2,1.03,-0.33,-30.7,-77.9,0.178,0.88,0.88,0.63,-59.2,0.76,False,0.013
SOLUSDT,um,donchian,um_maker2,1.5,0.26,1.8,-45.8,0.578,0.41,0.88,0.76,-45.9,0.76,False,0.135
SOLUSDT,um,tsmom,um_maker2,1.0,0.34,3.7,-21.4,0.344,0.2,0.88,0.15,-26.6,0.76,False,0.175
SOLUSDT,um,rsi_meanrev,um_maker2,0.68,0.48,11.1,-65.0,0.673,0.38,1.0,0.62,-40.8,0.76,False,0.25
